Day,Date,Temperature_C,Weight_g,Cons_inverts_g,Cons_fish_g
245,9/1/20,20.07,848.19,5.37,2.48
246,9/2/20,20.14,849.35,5.38,2.49
247,9/3/20,20.22,850.47,5.39,2.49
248,9/4/20,19.95,851.72,5.38,2.49
249,9/5/20,19.78,853.06,5.37,2.49
250,9/6/20,18.96,854.72,5.31,2.46
251,9/7/20,18.39,856.58,5.25,2.43
252,9/8/20,16.84,858.73,4.95,2.29
253,9/9/20,15.93,860.86,4.65,2.15
254,9/10/20,15.39,862.9,4.42,2.05
255,9/11/20,15.47,864.96,4.47,2.07
256,9/12/20,15.83,867.09,4.64,2.14
257,9/13/20,16.19,869.26,4.78,2.21
258,9/14/20,16.69,871.45,4.96,2.3
259,9/15/20,16.25,873.63,4.83,2.23
260,9/16/20,15.74,875.77,4.63,2.14
261,9/17/20,14.59,877.57,4.04,1.87
262,9/18/20,14.12,879.17,3.74,1.73
263,9/19/20,13.6,880.48,3.38,1.56
264,9/20/20,12.95,881.4,2.9,1.34
265,9/21/20,13.53,882.67,3.33,1.54
266,9/22/20,14.86,884.6,4.23,1.95
267,9/23/20,15.5,886.71,4.57,2.11
268,9/24/20,15.24,888.77,4.45,2.06
269,9/25/20,14.1,890.37,3.77,1.74
270,9/26/20,13.64,891.73,3.45,1.59
271,9/27/20,13.08,892.74,3.03,1.4
272,9/28/20,10.55,892.29,1.29,0.59
273,9/29/20,8.61,891.3,0.53,0.24
274,9/30/20,8.48,890.3,0.5,0.23
275,10/1/20,9.02,889.39,0.64,0.3
276,10/2/20,9.02,888.47,0.64,0.3
277,10/3/20,8.84,887.52,0.59,0.27
278,10/4/20,8.86,886.58,0.6,0.28
279,10/5/20,8.75,885.62,0.56,0.26
280,10/6/20,8.83,884.68,0.59,0.27
281,10/7/20,8.93,883.75,0.62,0.28
282,10/8/20,8.54,882.76,0.51,0.23
283,10/9/20,6.38,881.7,0.17,0.08
284,10/10/20,5.67,880.66,0.12,0.05
285,10/11/20,5.22,879.65,0.09,0.04
286,10/12/20,5.89,878.61,0.13,0.06
287,10/13/20,6.91,877.54,0.22,0.1
288,10/14/20,7.35,876.47,0.28,0.13
289,10/15/20,7.94,875.44,0.38,0.17
290,10/16/20,8.48,874.45,0.49,0.23
291,10/17/20,8.03,873.42,0.39,0.18
292,10/18/20,6.79,872.35,0.21,0.1
293,10/19/20,5.99,871.31,0.14,0.06
294,10/20/20,6.55,870.25,0.18,0.08
295,10/21/20,7.12,869.19,0.25,0.11
296,10/22/20,7.36,868.13,0.28,0.13
297,10/23/20,6.45,867.08,0.17,0.08
298,10/24/20,6.22,866.03,0.15,0.07
299,10/25/20,6.43,864.98,0.17,0.08
300,10/26/20,4.7,864.02,0.07,0.03
301,10/27/20,3.12,863.17,0.03,0.01
302,10/28/20,0.56,862.5,0.01,0
303,10/29/20,-0.01,862.27,0.01,0
304,10/30/20,0.02,861.64,0.01,0
305,10/31/20,0.01,861.01,0.01,0
306,11/1/20,0.07,860.38,0.01,0
307,11/2/20,0.25,859.73,0.01,0
308,11/3/20,0.95,859.04,0.01,0
309,11/4/20,2.16,858.27,0.02,0.01
310,11/5/20,2.76,857.45,0.02,0.01
311,11/6/20,2.75,856.63,0.02,0.01
312,11/7/20,2.47,855.83,0.02,0.01
313,11/8/20,2.42,855.04,0.02,0.01
314,11/9/20,3.29,854.18,0.03,0.01
315,11/10/20,3.63,853.3,0.04,0.02
316,11/11/20,3.35,852.44,0.03,0.02
317,11/12/20,3.71,851.56,0.04,0.02
318,11/13/20,3.47,850.69,0.04,0.02
319,11/14/20,3.34,849.84,0.03,0.02
320,11/15/20,4.15,848.92,0.05,0.02
321,11/16/20,4.73,847.97,0.07,0.03
322,11/17/20,5.01,847,0.08,0.04