Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,Warning! p-value at upper limit. Model could not fit user-specified final weight.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 11:56:47 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,300,Weight,300,1,30,1,13560,5.000,4.872,274.618,1.000,274.618,4.872,0.180,0.000,5.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,Warning! p-value at upper limit. Model could not fit user-specified final weight.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 11:58:56 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,300,Weight,300,1,30,1,13560,5.000,4.872,274.618,1.000,274.618,4.872,0.170,0.000,5.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,Warning! p-value at upper limit. Model could not fit user-specified final weight.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 12:51:33 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Consumption,422,1,60,1,13560,5.000,13.106,409.698,1.000,409.698,13.106,0.340,0.000,5.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,Warning! p-value at upper limit. Model could not fit user-specified final weight.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 12:52:05 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,60,1,13560,5.000,13.106,409.698,1.000,409.698,13.106,0.300,0.000,5.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,Warning! p-value at upper limit. Model could not fit user-specified final weight.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 12:53:15 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,60,1,13560,5.000,13.106,409.698,0.921,377.922,12.593,0.360,0.000,5.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,TRUE,Sub-Models/Mortality/Mortality.csv,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,Warning! p-value at upper limit. Model could not fit user-specified final weight.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 14:36:03 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,60,1,13560,5.000,13.106,409.698,1.000,409.698,13.106,0.710,0.000,5.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,Warning! p-value at upper limit. Model could not fit user-specified final weight.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 14:53:34 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,10,1,13560,5.000,2.206,419.934,1.000,419.934,2.206,0.440,0.000,5.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 14:57:50 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,60,1,13560,0.141095,2.569,422.000,1.000,422.000,2.569,0.640,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 15:00:16 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,60,1,13560,0.423286,7.708,422.000,1.000,422.000,7.708,0.640,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 15:10:00 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,60,1,13560,0.705477,12.847,422.000,1.000,422.000,12.847,0.700,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 15:12:17 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,120,1,13560,0.939829,23.283,422.000,1.000,422.000,23.283,1.000,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Fri Dec 20 15:13:58 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,280,1,13560,1.250096,50.408,422.000,1.000,422.000,50.408,1.150,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 09:17:02 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,30,1,13560,1.968769,17.926,422.000,1.000,422.000,17.926,0.530,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 09:18:31 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Ration_prey,5000000,1,30,1,13560,NA,1.5e+08,294918988.567,1.000,294918988.567,1.5e+08,0.090,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 09:19:00 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,30,1,13560,1.968769,17.926,422.000,1.000,422.000,17.926,0.160,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 09:19:16 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,300,1,13560,3.285751,153.045,422.000,1.000,422.000,153.045,1.300,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 10:44:30 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,60,1,13560,1.968769,35.853,422.000,1.000,422.000,35.853,0.260,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 12:22:38 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,91,1,13560,0.187039,88.986,422.000,1.000,422.000,88.986,0.850,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 12:23:52 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,400,Weight,422,1,91,1,13560,0.212497,98.953,422.000,1.000,422.000,98.953,0.390,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 12:24:32 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,422,Weight,422,1,91,1,13560,0.187039,88.986,422.000,1.000,422.000,88.986,0.460,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 12:24:56 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,300,Weight,422,1,91,1,13560,0.345187,143.804,422.000,1.000,422.000,143.804,0.390,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Mon Dec 30 12:33:17 2019,v1.1.2,C:/Users/brade/Desktop/Bioenergetics,FB4_Log_File.csv,50,Northern pikeminnow,User input,User run,417,Weight,422,1,91,1,13560,0.192728,91.254,422.000,1.000,422.000,91.254,0.470,0.000,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
